Tax transferee,Amount due,Tax years due,Date,Land use code,Census tract
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$3,612.74 ","201,120,122,013,201,000,000,000",11/1/2018,100,13121008500
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,434.32 ","20,172,018",11/1/2020,100,13121007200
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,327.81 ","20,172,018",8/1/2020,100,13121007200
"TAX PORTFOLIO SERVICES, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$8,531.11 ","20,102,011",5/1/2016,800,13121007400
,"$11,423.34 ","2,011,201,220,132,010",5/1/2018,800,13121007400
,"$12,175.86 ","201,720,192,020",5/1/2022,100,13089021101
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$5,043.64 ",2018,2/1/2021,100,13089021101
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$4,775.59 ",2018,10/1/2020,100,13089021101
,"$11,903.09 ","201,720,192,020",5/1/2022,100,13089021101
"RIAH CAPITAL MANAGEMENT, LLC, AS NOMINEE FOR FGMS FUND V, LP","$13,019.85 ","2,009,201,020,112,010",9/1/2015,101,13121011301
,"$7,447.45 ","20,162,017,201,820,100,000",5/1/2022,100,13121010002
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,443.29 ","20,172,018",11/1/2020,100,13121007200
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,336.56 ","20,172,018",8/1/2020,100,13121007200
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,422.26 ",2018,2/1/2022,332,13121007705
"RIAH CAPITAL MGMT , LLC AS CUST. FOR JUNO TAX RECEIVABLES LLC","$8,998.65 ","20,132,014",5/1/2017,349,13121007705
"INVESTA SERVICES OF GA AS NOMINEE FOR FULTON COUNTY TAX CAPITAL IV, LC","$1,086.37 ",2012,7/1/2015,101,13121008101
